Kawa 	 Zn  	 P 	 Mn 	 Fe 	 Mg 	 Cu 	 Ca 	 Sr 	 Ba 	 Na 	 K 
A 	2.899	0.1390	2.680	5.980	0.1730	1.780	0.08900	4.130	2.920	2.300	1.466
R 	1.393	0.1580	1.220	5.610	0.1610	1.680	0.09400	4.140	9.100	2.140	1.448
A 	1.933	0.1340	1.410	4.620	0.1740	1.340	0.09700	5.590	5.310	3.340	1.493
R 	2.997	0.1730	1.980	7.340	0.1650	1.310	0.08700	4.400	5.010	3.380	1.541
A 	5.440	0.1400	2.930	4.660	0.1730	1.120	0.09000	5.750	9.170	3.010	1.422
R 	3.182	0.1790	1.330	5.060	0.1460	1.460	0.1080	6.930	2.710	1.990	1.438
A 	3.690	0.1290	1.900	5.270	0.1780	1.180	0.1090	5.980	3.790	1.170	1.379
R 	4.940	0.1750	1.330	5.410	0.1620	1.520	0.1130	6.660	4.940	1.690	1.417
A 	1.790	0.1370	3.610	5.200	0.1820	1.290	0.1090	1.193	1.008	2.330	1.358
R 	7.100	0.1580	1.230	5.170	0.1710	1.710	0.1040	5.480	2.030	6.600	1.455
A 	5.080	0.1240	2.840	4.030	0.1730	1.190	0.0880	5.890	5.890	1.060	1.273
R 	1.297	0.1810	1.210	6.370	0.1670	1.560	0.1170	7.690	5.270	1.470	1.499
A 	5.060	0.1380	2.960	5.090	0.1930	1.260	0.1010	5.060	5.270	1.700	1.407
A 	8.970	0.1320	1.320	4.080	0.1870	1.220	0.1030	5.150	4.740	1.600	1.378
R 	7.290	0.1850	1.540	6.090	0.1660	1.600	0.1350	8.000	3.850	1.210	1.389
A 	5.670	0.1440	4.460	4.940	0.1940	1.350	0.1030	7.700	6.590	1.770	1.364
R 	5.790	0.1960	1.330	6.300	0.1780	1.700	0.1230	8.530	4.570	1.100	1.408
R	1.514	0.1610	1.310	6.250	0.1820	1.720	0.1220	5.680	1.590	1.590	1.401
